Sum of Total,Column Labels,,,,,,,,,,,,,,,,,,,,,
Row Labels,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Grand Total
Bangladesh,,,,,,,,,5,7,7,8,5,,,,,,,,,32
Burundi,148,265,364,779,1776,2628,3111,3526,4667,6603,8143,12524,11364,14367,30553,44435,40634,34981,45671,49728,48000,364267
Cameroon,,,,,,,,,,,,5,,,,,,,5,5,13,28
Central African Rep.,,,,,8,9,9,8,9,9,9,9,14,14,13,26,26,28,32,30,43,296
Chad,5,5,5,,,,,10,11,13,13,11,5,10,5,5,5,7,11,7,12,140
Congo,,,,,6,,,5,5,5,,,,,5,5,,6,19,22,31,109
Dem. Rep. of the Congo,7839,9030,11829,15318,20900,28766,41782,78995,76188,87085,88424,134357,163916,187809,214279,222055,242406,312699,397638,421563,456537,3219415
Egypt,,,,,,,,,,,5,11,10,10,,,,5,8,12,8,69
Eritrea,14,23,33,151,144,434,564,2696,4632,5923,6406,8944,6275,9508,9250,11864,14592,9522,14499,16446,21421,143341
Ethiopia,77,100,181,349,332,437,525,1257,1644,1895,2023,2845,1450,2227,2502,2946,3233,2383,2961,3234,4195,36796
Guinea,,,,,,11,11,5,5,5,5,8,,,,,,,5,5,5,65
India,,,,,,,,,,,,,,5,5,,,,,,,10
Iran (Islamic Rep. of),,,,,,,,,,,,,,,,,,,,,5,5
Iraq,,,,,,,,5,,,,,,,,,,,,,,5
Kenya,123,133,39,32,29,55,60,2051,1918,1648,1597,1408,1534,1631,509,412,218,214,219,223,259,14312
Liberia,,,6,13,5,,,5,10,10,10,10,,5,5,5,,5,,,,89
Libya,,,,,,,,,,,,12,,,,,,,,,,12
Mali,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,40
Nigeria,,,5,,,,,,,,,,,,,,,10,,,,15
Pakistan,6,5,,,,7,13,25,47,55,52,107,137,276,426,458,491,311,242,252,227,3137
Palestinian,,,,,,5,5,,,,,,,5,6,6,7,,5,5,5,49
Rwanda,14378,19009,19786,19189,20500,24934,20914,17261,16960,16020,15794,17928,14613,16601,17155,17754,15260,14613,17110,17883,25772,379434
Senegal,,,,,,,,,,,,,,,,,5,11,10,10,10,46
Sierra Leone,,,,,,,,5,5,5,5,5,,,,,,,,,,25
Somalia,919,1004,1027,1651,2373,4807,5628,8239,11625,17411,21063,27143,18534,28005,35210,39541,37193,23633,37960,44479,53992,421437
South Sudan,,,,,,,,,,,,11135,25265,157886,200278,639955,1037898,789287,861590,889054,958968,5571316
Sri Lanka,5,5,,,,,,,,,,,,,,,,,,,,10
Stateless,,,,,,,,,,,,,,,,,,,,,67000,67000
Sudan,176850,188266,198352,214796,212980,215722,162110,57282,21151,19889,19321,9449,1629,2594,2717,3174,3100,3149,3036,3291,3635,1522493
Syrian Arab Rep.,,,,,,,,,,,,,8,13,17,19,19,10,16,24,26,152
TÃ¼rkiye,,,,,,,,,,,,,,,,,,8,33,49,76,166
Uganda,,,,,,1586174,1235992,853000,446300,125598,29776,,50000,180000,180000,180000,180000,180000,,,,5226840
United Rep. of Tanzania,,,,5,5,,,5,9,14,14,14,5,,5,,,8,9,10,15,118
United States of America,,,,,,,,,,5,,,,,,,,,,,,5
Yemen,,,,,,,,,,,,,,,10,32,38,20,32,32,31,195
Grand Total,200364,217845,231627,252283,259058,1863989,1470724,1024380,585191,282200,192667,225933,294764,600971,692955,1162697,1575130,1370915,1381116,1446369,1640291,16971469
